model,dataset,sweep_tag,loss_mean,loss_std,loss_phys_mean,loss_phys_std,loss_data_mean,loss_data_std,mu_mean,mu_std,mu_error_mean,mu_error_std,step_time_mean,step_time_std,n_seeds
PIML_113,D1_d2_w20,main,305.50103759765625,0.0,227.43666076660156,0.0,0.0007528138230554,0.0,4.683163642883301,0.0,0.6831636428833008,0.0,0.0010025246185250002,8.093646060376902e-05,5
PIML_113,D2_d1.5_w30,main,1424.76611328125,0.0,852.383544921875,0.0,0.0033334849867969,0.0,4.223872661590576,0.0,1.2238726615905762,0.0,0.0010101913940161,0.00015924738257351483,5
PIML_113,D3_d3_w30,main,1131.882080078125,0.0,545.7346801757812,0.0,0.0058425087481737,0.0,7.641665458679199,0.0,1.6416654586791992,0.0,0.00100265041692176,0.00013695659717753657,5
PIML_113,D4_d4_w40,main,3801.141845703125,0.0,705.9769897460938,0.0,0.0265350304543972,0.0,16.968433380126953,0.0,8.968433380126953,0.0,0.00117839162703598,0.00019328655313727966,5
PIML_2209,D1_d2_w20,main,715.4033203125,0.0,649.7662353515625,0.0,0.0004623730492312,0.0,4.514355659484863,0.0,0.5143556594848633,0.0,0.00115759160835294,0.00013008230009106968,5
PIML_2209,D2_d1.5_w30,main,9919.9541015625,0.0,9078.2509765625,0.0,0.00069109845208,0.0,3.080267906188965,0.0,0.08026790618896484,0.0,0.00105874179862432,4.0617678958804985e-05,5
PIML_2209,D3_d3_w30,main,113.86332702636722,0.0,55.5809326171875,0.0,0.0003955607826355,0.0,6.092131614685059,0.0,0.0921316146850586,0.0,0.00115796659374604,7.695496010371415e-05,5
PIML_2209,D4_d4_w40,main,1044.6942138671875,0.0,702.6820068359375,0.0,0.0010224803118035,0.0,8.192079544067383,0.0,0.1920795440673828,0.0,0.00105524200480426,8.488880982986902e-05,5
PIQML_109,D1_d2_w20,main,96.44905090332033,0.0,9.461770057678224,0.0,0.0003411410725675,0.0,3.979238510131836,0.0,0.020761489868164062,0.0,0.13420050820568571,0.007159624568899941,5
PIQML_109,D2_d1.5_w30,main,57.37763977050781,0.0,19.7491512298584,0.0,0.0003735284262802,0.0,3.0186877250671387,0.0,0.018687725067138672,0.0,0.13544505020836364,0.006099335783044297,5
PIQML_109,D3_d3_w30,main,62.985198974609375,0.0,27.50246810913086,0.0,0.0003400264249648,0.0,5.955350399017334,0.0,0.044649600982666016,0.0,0.14238907481776547,0.008018496309902146,5
PIQML_109,D4_d4_w40,main,340.6017883300781,171.78276088102595,71.45352096557617,16.250798074719395,0.00042744058882811996,1.839560136424253e-05,7.984580993652344,0.041449308992628726,0.03556900024414063,0.020827510387541465,0.1829731332021765,0.10325280542372285,5
